"","Zip","City","State","Latitude","Longitude","Timezone","Daylight savings time flag","geopoint"
"1388","41834","Littcarr","KY",37.270358,-82.9403,-5,1,"37.270358,-82.9403"
"1389","46845","Fort Wayne","IN",41.200465,-85.10219,-5,0,"41.200465,-85.10219"
"1390","40622","Frankfort","KY",38.234133,-84.874809,-5,1,"38.234133,-84.874809"
"1391","47224","Canaan","IN",38.896209,-85.21936,-5,0,"38.896209,-85.21936"
"1392","40291","Louisville","KY",38.147232,-85.59169,-5,1,"38.147232,-85.59169"
"1393","41142","Grahn","KY",38.282767,-83.0727,-5,1,"38.282767,-83.0727"
"1394","46985","Star City","IN",40.950873,-86.57394,-5,0,"40.950873,-86.57394"
"1395","41141","Garrison","KY",38.570194,-83.14301,-5,1,"38.570194,-83.14301"
"1396","40513","Lexington","KY",38.010247,-84.58619,-5,1,"38.010247,-84.58619"
"1397","47190","Jeffersonville","IN",38.437021,-85.704973,-5,1,"38.437021,-85.704973"
"1398","46761","Lagrange","IN",41.634457,-85.35825,-5,0,"41.634457,-85.35825"
"1399","84630","Fayette","UT",39.272741,-111.77838,-7,1,"39.272741,-111.77838"
"1400","41254","River","KY",37.887278,-82.73688,-5,1,"37.887278,-82.73688"
"1401","47670","Princeton","IN",38.34841,-87.57478,-6,1,"38.34841,-87.57478"
"1402","41097","Williamstown","KY",38.628866,-84.5679,-5,1,"38.628866,-84.5679"
"1403","42256","Lewisburg","KY",37.020366,-86.94284,-6,1,"37.020366,-86.94284"
"1404","46818","Fort Wayne","IN",41.148298,-85.22159,-5,0,"41.148298,-85.22159"
"1405","84004","Alpine","UT",40.465161,-111.76279,-7,1,"40.465161,-111.76279"
"1406","46542","Milford","IN",41.408621,-85.86531,-5,0,"41.408621,-85.86531"
"1407","40741","London","KY",37.143828,-84.07839,-5,1,"37.143828,-84.07839"
"1408","40526","Lexington","KY",38.028269,-84.471505,-5,1,"38.028269,-84.471505"
"1409","42503","Somerset","KY",37.112274,-84.588,-5,1,"37.112274,-84.588"
"1410","40734","Gray","KY",36.930995,-83.98146,-5,1,"36.930995,-83.98146"
"1411","47895","Helt","IN",39.714267,-87.524376,-5,0,"39.714267,-87.524376"
"1412","40215","Louisville","KY",38.19192,-85.78405,-5,1,"38.19192,-85.78405"
"1413","40106","Big Spring","KY",37.788538,-86.231194,-6,1,"37.788538,-86.231194"
"1414","47223","Butlerville","IN",39.049336,-85.49272,-5,0,"39.049336,-85.49272"
"1415","41622","Eastern","KY",37.514748,-82.81097,-5,1,"37.514748,-82.81097"
"1416","42726","Clarkson","KY",37.429456,-86.16448,-6,1,"37.429456,-86.16448"
"1417","38079","Tiptonville","KY",36.513386,-89.50472,-6,1,"36.513386,-89.50472"
"1418","41631","Grethel","KY",37.479754,-82.64922,-5,1,"37.479754,-82.64922"
"1419","46738","Garrett","IN",41.334204,-85.13569,-5,0,"41.334204,-85.13569"
"1420","84338","Trenton","UT",41.935384,-111.94607,-7,1,"41.935384,-111.94607"
"1421","46995","West Middleton","IN",40.442117,-86.215482,-5,0,"40.442117,-86.215482"
"1422","47567","Petersburg","IN",38.477037,-87.30217,-5,0,"38.477037,-87.30217"
"1423","41749","Hyden","KY",37.17621,-83.38301,-5,1,"37.17621,-83.38301"
